Number	System	Body	Piston	Nrv in probe	Handle	x	x2	x3	Fittings	Sales year	Code number	Description	Pcs	2 First	Body/Gas thread	Piston thread	Body description	Piston description	NRV description	Body drawings	Piston drawings	NRV drawings	Fitting drawings	Complete drawing list
4	S	E	M	2	CA	0	0	0	17	2020	4SEM2CA00017	MF-S 1/2″BSP-5/8″BSP Suntory	21.459	4S	1/2"	5/8"	1/2"RG Suntory  m/stop	5/8" RG SUNTORY	Stop Kugle	707-582	707-576	102-524, 102-527	102-581	707-582, 707-576, 102-524, 102-527, 102-581
3	M	8	7	3	CA	0	0	0	00	2019	3M873CA00000	MF-M 5/8″BSP 5/8″BSP	20.432	3M	5/8"	5/8"	5/8"	5/8" ø8.5   Holland	Kontraventil	707-420, 106-544	731-104	102-699		707-420, 106-544, 731-104, 102-699
4	S	E	M	2	CA	0	0	0	17	2019	4SEM2CA00017	MF-S 1/2″BSP-5/8″BSP Suntory	20.406	4S	1/2"	5/8"	1/2"RG Suntory  m/stop	5/8" RG SUNTORY	Stop Kugle	707-582	707-576	102-524, 102-527	102-581	707-582, 707-576, 102-524, 102-527, 102-581
5	S	9	J	0	CC	0	0	0	00	2022	5S9J0CC00000	MF-S 1/2″BSP-1/2″BSP	20.000	5S	1/2"	1/2"	"1/2"" RG 
SUNTORY"	1/2"                      AISI 316 		707-580	707-488			707-580, 707-488
4	S	F	N	2	CA	0	0	0	00	2019	4SFN2CA00000	MF-S 1/2″BSP-1/2″BSP Japan	19.772	4S	1/2"	1/2"	1/2"RG Japan	1/2" RG JAPAN	Stop Kugle	707-590	707-553	102-524, 102-527		707-590, 707-553, 102-524, 102-527
5	S	9	I	9	CC	0	0	0	21	2020	5S9I9CC00021	MF-S 1/2″BSP-5/8″BSP Non Drip	19.620	5S	1/2"	5/8"	"1/2"" RG 
SUNTORY"	5/8" Sapporo non drip	Stop Kugle Ø9.525	707-580	707-603	112-413, 102-917	215-003, 401-991	707-580, 707-603, 112-413, 102-917, 215-003, 401-991
4	G	4	F	2	CA	0	0	0	26	2021	4G4F2CA00026	MF-GB 1/2″BSP-1/2″BSP	19.330	4G	1/2"	1/2"	"1/2""
Till Sverige"	"1/2""
Damm"	"Stop
Kugle"	703-301	706-141	102-524, 102-527	401-750, 405-015	703-301, 706-141, 102-524, 102-527, 401-750, 405-015
4	G	4	F	2	CA	0	0	0	26	2019	4G4F2CA00026	MF-GB 1/2″BSP-1/2″BSP	18.450	4G	1/2"	1/2"	"1/2""
Till Sverige"	"1/2""
Damm"	"Stop
Kugle"	703-301	706-141	102-524, 102-527	401-750, 405-015	703-301, 706-141, 102-524, 102-527, 401-750, 405-015
4	D	7	3	3	CC	0	0	0	00	2019	4D733CC00000	MF-D 5/8″BSP-5/8″BSP	17.940	4D	5/8"	5/8"	"5/8""
Rustfri (BP 102-328)"	5/8"	Ring Kontraventil	733-306, 102-328	733-101	733-304, 102-699		733-306, 102-328, 733-101, 733-304, 102-699
3	S	1	A	3	CA	0	0	0	00	2022	3S1A3CA00000	MF-S 5/8″BSP 5/8″BSP	16.921	3S	5/8"	5/8"	5/8"	5/8" Massiv	Kontraventil	707-420, 707-473	707-239	102-699		707-420, 707-473, 707-239, 102-699
