Number	System	Body	Piston	Nrv in probe	Handle	x	x2	x3	Fittings	Sales year	Code number	Description	Pcs	2 First	Body/Gas thread	Piston thread	Body description	Piston description	NRV description	Body drawings	Piston drawings	NRV drawings	Fitting drawings	Complete drawing list
6	D	6	4	4	CC	0	0	0	04	2020	6D644CC00004	MF-D 5/8″BSP-5/8″BSP	1.900	6D	5/8"	5/8"	5/8"	5/8"			733-101	102-699	102-530	733-101, 102-699, 102-530
5	S	1	H	0	CC	0	0	0	28	2022	5S1H0CC00028	MF-S 3/4″BSP-5/8″BSP	1.895	5S	1/2"	5/8"	1/2"	5/8"      m.absperrhahn 		707-359	707-249		401-663, 401-626	707-359, 707-249, 401-663, 401-626
5	S	1	1	C	CC	0	0	0	00	2020	5S11CCC00000	MF-S 1/2″BSP-1/2″BSP	1.890	5S	1/2"	1/2"	1/2"	1/2" Massiv	Kontaventil	707-359	707-119	112-897		707-359, 707-119, 112-897
5	G	3	3	7	CC	0	0	0	14	2022	5G337CC00014	MF-GB 5/8″BSP-5/8″BSP	1.885	5G	1/2"	1/2"	"1/2""
Serie"	"1/2""
Serie"	Kontraventil	703-560	703-313	102-699	405-520, 405-002	703-560, 703-313, 102-699, 405-520, 405-002
3	S	9	C	0	CA	0	0	0	00	2020	3S9C0CA00000	MF-S 3/4″BSP-5/8″BSP	1.880	3S	3/4"	5/8"	"3/4"" (Ø14X7)
"	5/8" Ø10 Beck/Licher m/absperrh.Ø14x7		401-472, 707-473	707-249			401-472, 707-473, 707-249
4	S	D	3	3	CA	0	0	0	00	2022	4SD33CA00000	MF-S 5/8″BSP-5/8″BSP	1.860	4S	5/8"	5/8"	5/8"RG	5/8" Massiv	Kontraventil	733-305	707-239	102-699		733-305, 707-239, 102-699
8	M	1	2	1	CA	0	0	0	03	2021	8M121CA00003	MF-M 1/2″BSP-1/2″BSP	1.860	8M	1/2"	1/2"	1/2"	1/2"	STOP KUGLE	738-396	731-142	102-524, 102-527	401-775, 401-998	738-396, 731-142, 102-524, 102-527, 401-775, 401-998
4	A	3	4	2	CA	0	0	0	00	2019	4A342CA00000	MF-AB 5/8″BSP-5/8″BSP	1.850	4A	5/8"	5/8"	5/8"	5/8" Standard	Stop Kugle	703-418	703-173	102-524, 102-527		703-418, 703-173, 102-524, 102-527
3	S	8	A	3	CA	0	0	0	00	2020	3S8A3CA00000	MF-S 3/4″BSP-5/8″BSP	1.800	3S	3/4"	5/8"	"3/4"" (ø14x7)
"	5/8" Massiv	Kontraventil	401-472, 707-503	707-239	102-699		401-472, 707-503, 707-239, 102-699
5	S	1	1	3	CC	0	0	0	00	2021	5S113CC00000	MF-S 1/2″BSP-1/2″BSP	1.800	5S	1/2"	1/2"	1/2"	1/2" Massiv	Kontraventil	707-359	707-119	102-699		707-359, 707-119, 102-699
5	S	1	1	3	CC	0	0	0	39	2022	5S113CC00039	MF-S 1/2″BSP-1/2″BSP	1.800	5S	1/2"	1/2"	1/2"	1/2" Massiv	Kontraventil	707-359	707-119	102-699	214-331, 707-413, 102-528, 239-004	707-359, 707-119, 102-699, 214-331, 707-413, 102-528, 239-004
7	A	2	2	0	CA	0	0	0	44	2022	7A220CA00044	MF-AB 3/8″BSP-5/8″BSP	1.800	7A	3/8"	5/8"	3/8"	5/8" Grolsch		401-557, 703-515	703-234		401-696	401-557, 703-515, 703-234, 401-696
5	G	3	3	8	CC	0	0	0	01	2021	5G338CC00001	MF-GB 1/2″BSP-1/2″BSP	1.795	5G	1/2"	1/2"	"1/2""
Serie"	"1/2""
Serie"	Kontraventil	703-560	703-313	112-897		703-560, 703-313, 112-897
3	A	9	5	7	CA	0	0	0	00	2022	3A957CA00000	MF-AB 3/4″BSP-5/8″BSP	1.758	3A	3/4"	5/8"	3/4" (Ø14X7)	5/8"-90°	Stop grøn Kugle grøn	401-472, 703-407	703-198, 703-222	102-615, 102-617		401-472, 703-407, 703-198, 703-222, 102-615, 102-617
7	A	4	7	0	CA	0	0	0	62	2022	7A470CA00062	MF-AB 3/8″BSP-5/8″BSP	1.758	7A	3/8"	5/8"	3/8" O-ring på stempel	5/8" ø8.5 O-ring på stempel		703-573	706-117		239-039, 401-841	703-573, 706-117, 239-039, 401-841
5	S	1	1	3	CC	0	0	0	39	2021	5S113CC00039	MF-S 1/2″BSP-1/2″BSP	1.750	5S	1/2"	1/2"	1/2"	1/2" Massiv	Kontraventil	707-359	707-119	102-699	214-331, 707-413, 102-528, 239-004	707-359, 707-119, 102-699, 214-331, 707-413, 102-528, 239-004
4	S	0	3	3	CA	0	0	0	00	2019	4S033CA00000	MF-S 5/8''BSP-5/8''BSP	1.694	4S	5/8"	5/8"	5/8"	5/8" Massiv	Kontraventil	733-305, 707-490	707-239	102-699		733-305, 707-490, 707-239, 102-699
8	A	2	2	4	CC	0	0	0	17	2019	8A224CC00017	MF-AB 1/2″BSP-1/2″BSP	1.681	8A	1/2"	5/8"	1/2"BSP o-ringe i hus	5/8"BSP Ø8.5	Ring (stop)  Torpedo	106-595	706-117	733-304, 102-699	405-001, 405-009	106-595, 706-117, 733-304, 102-699, 405-001, 405-009
3	A	9	K	0	CA	0	0	0	00	2019	3A9K0CA00000	MF-AB 3/4″BSP-5/8″BSP	1.680	3A	3/4"	5/8"	3/4" (Ø14X7)	5/8"+SOV		401-472, 703-407	706-161, 703-222			401-472, 703-407, 706-161, 703-222
6	D	6	8	0	CA	0	0	0	09	2022	6D680CA00009	MF-D 5/8''BSP-5/8''BSP	1.665	6D	5/8"	5/8"	5/8"	5/8"			733-101		239-032, 102-011, 404-320, 404-329, 239-032, 102-011, 404-320	733-101, 239-032, 102-011, 404-320, 404-329, 239-032, 102-011, 404-320
5	S	0	3	0	CC	0	0	0	00	2019	5S030CC00000	MF-S 5/8″BSP-5/8″BSP	1.653	5S	5/8"	5/8"	5/8"  Seriekobl.	5/8" Massiv		707-390	707-239			707-390, 707-239
4	S	0	3	2	CA	0	0	0	00	2019	4S032CA00000	MF-S 5/8″BSP-5/8″BSP	1.650	4S	5/8"	5/8"	5/8"	5/8" Massiv	Stop Kugle	733-305, 707-490	707-239	102-524, 102-527		733-305, 707-490, 707-239, 102-524, 102-527
6	D	6	4	4	CC	0	0	0	04	2019	6D644CC00004	MF-D 5/8″BSP-5/8″BSP	1.650	6D	5/8"	5/8"	5/8"	5/8"			733-101	102-699	102-530	733-101, 102-699, 102-530
3	S	1	A	2	CA	0	0	0	00	2020	3S1A2CA00000	MF-S 5/8″BSP-5/8″BSP	1.600	3S	5/8"	5/8"	5/8"	5/8" Massiv	Stop Kugle	707-420, 707-473	707-239	102-524, 102-527		707-420, 707-473, 707-239, 102-524, 102-527
5	S	1	3	3	CC	0	0	0	00	2019	5S133CC00000	MF-S 1/2″BSP-5/8″BSP	1.586	5S	1/2"	5/8"	1/2"	5/8" Massiv	Kontraventil	707-359	707-239	102-699		707-359, 707-239, 102-699
4	M	4	A	0	CA	0	0	0	01	2022	4M4A0CA00001	MF-M 3/8″-3/8″BSP	1.580	4M	3/8"	3/8"	3/8"	3/8"RG		703-417	731-138		401-764	703-417, 731-138, 401-764
6	L	1	1	6	CB	0	0	0	00	2019	6L116CB00000	MF-LP 7/16''-20UNF-5/8''BSP	1.570	6L	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
3	A	9	1	2	CA	0	0	0	00	2022	3A912CA00000	MF-AB 3/4″BSP-5/8″BSP	1.558	3A	3/4"	5/8"	3/4" (Ø14X7)	5/8" Standard	Stop Kugle	401-472, 703-407	703-242	102-524, 102-527		401-472, 703-407, 703-242, 102-524, 102-527
3	S	1	3	3	CA	0	0	0	00	2019	3S133CA00000	MF-S 5/8″BSP-5/8″BSP	1.512	3S	5/8"	5/8"	5/8"	5/8" Massiv	Kontraventil	707-420, 707-473	707-239	102-699		707-420, 707-473, 707-239, 102-699
8	G	1	3	3	CC	0	0	0	08	2019	8G133CC00008	MF-GB 3/8″BSP-5/8″BSP	1.501	8G	3/8"	5/8"	3/8"BSP o-ring på stemp.	5/8" BSP	Torpedo	106-664	706-166	102-699	401-696	106-664, 706-166, 102-699, 401-696
3	S	6	C	0	CA	0	0	0	04	2020	3S6C0CA00004	MF-S 3/4″BSP-5/8″BSP	1.500	3S	3/4"	5/8"	"3/4""  (ø14x7)
 Vingem."	5/8" Ø10 Beck/Licher m/absperrh.Ø14x7		401-471, 707-473	707-249		102-787, 707-101	401-471, 707-473, 707-249, 102-787, 707-101
4	A	3	4	2	CA	0	0	0	00	2022	4A342CA00000	MF-AB 5/8″BSP-5/8″BSP	1.500	4A	5/8"	5/8"	5/8"	5/8" Standard	Stop Kugle	703-418	703-173	102-524, 102-527		703-418, 703-173, 102-524, 102-527
4	M	4	A	0	CA	0	0	0	01	2019	4M4A0CA00001	MF-M 3/8″-3/8″BSP	1.500	4M	3/8"	3/8"	3/8"	3/8"RG		703-417	731-138		401-764	703-417, 731-138, 401-764
5	G	3	3	7	CC	0	0	0	14	2021	5G337CC00014	MF-GB 5/8″BSP-5/8″BSP	1.500	5G	1/2"	1/2"	"1/2""
Serie"	"1/2""
Serie"	Kontraventil	703-560	703-313	102-699	405-520, 405-002	703-560, 703-313, 102-699, 405-520, 405-002
5	S	1	1	0	CC	0	0	0	32	2020	5S110CC00032	MF-S 1/2″BSP-1/2″BSP	1.500	5S	1/2"	1/2"	1/2"	1/2" Massiv		707-359	707-119		405-006, 707-413, 102-527, 762-120	707-359, 707-119, 405-006, 707-413, 102-527, 762-120
5	S	1	1	3	CC	0	0	0	40	2021	5S113CC00040	MF-S 1/2″BSP-1/2″BSP	1.500	5S	1/2"	1/2"	1/2"	1/2" Massiv	Kontraventil	707-359	707-119	102-699	405-001, 405-009	707-359, 707-119, 102-699, 405-001, 405-009
7	A	2	2	0	CA	0	0	0	44	2021	7A220CA00044	MF-AB 3/8″BSP-5/8″BSP	1.500	7A	3/8"	5/8"	3/8"	5/8" Grolsch		401-557, 703-515	703-234		401-696	401-557, 703-515, 703-234, 401-696
7	A	2	2	0	CA	0	0	0	44	2019	7A220CA00044	MF-AB 3/8″BSP-5/8″BSP	1.500	7A	3/8"	5/8"	3/8"	5/8" Grolsch		401-557, 703-515	703-234		401-696	401-557, 703-515, 703-234, 401-696
5	S	0	3	0	CC	0	0	0	00	2022	5S030CC00000	MF-S 5/8″BSP-5/8″BSP	1.499	5S	5/8"	5/8"	5/8"  Seriekobl.	5/8" Massiv		707-390	707-239			707-390, 707-239
3	D	3	1	0	CA	0	0	0	03	2021	3D310CA00003	MF-D 3/4″BSP-5/8″BSP	1.480	3D	3/4"	5/8"	3/4" (BP  102-521)	5/8" ø10		401-471, 707-473, 102-521	733-314		239-032	401-471, 707-473, 102-521, 733-314, 239-032
5	M	5	1	3	CC	0	0	0	06	2019	5M513CC00006	MF-M 5/8″BSP-5/8″BSP	1.480	5M	5/8"	5/8"	5/8" BSP	5/8" Seriekobl.	Kontraventil	703-685	731-115	102-699	405-001, 401-781	703-685, 731-115, 102-699, 405-001, 401-781
3	S	1	3	3	CA	0	0	0	00	2020	3S133CA00000	MF-S 5/8″BSP-5/8″BSP	1.470	3S	5/8"	5/8"	5/8"	5/8" Massiv	Kontraventil	707-420, 707-473	707-239	102-699		707-420, 707-473, 707-239, 102-699
3	S	9	2	0	CA	0	0	0	00	2019	3S920CA00000	MF-S 3/4''BSP-5/8''BSP	1.470	3S	3/4"	5/8"	"3/4"" (Ø14X7)
"	5/8" ø10		401-472, 707-473	707-344			401-472, 707-473, 707-344
4	D	2	3	3	CA	0	0	0	00	2022	4D233CA00000	MF-D 1/2″BSP 5/8″BSP	1.470	4D	1/2"	5/8"	"1/2""
Messing (BP 102-521)"	5/8"	Ring Kontraventil	707-301, 102-521	733-101	733-304, 102-699		707-301, 102-521, 733-101, 733-304, 102-699
3	A	9	4	0	CA	0	0	0	00	2021	3A940CA00000	MF-AB 3/4″BSP-5/8″BSP	1.460	3A	3/4"	5/8"	3/4" (Ø14X7)	5/8" ø10		401-472, 703-407	703-243			401-472, 703-407, 703-243
5	S	1	2	2	CC	0	0	0	00	2020	5S122CC00000	MF-S 1/2″BSP-1/2″BSP	1.433	5S	1/2"	1/2"	1/2"	1/2" AISI 316	Stop Kugle	707-359	707-149	102-524, 102-527		707-359, 707-149, 102-524, 102-527
3	A	8	1	2	CA	0	0	0	00	2019	3A812CA00000	MF-AB 5/8″BSP 5/8″BSP	1.407	3A	5/8"	5/8"	5/8"	5/8" Standard	Stop Kugle	707-420, 703-407	703-242	102-524, 102-527		707-420, 703-407, 703-242, 102-524, 102-527
4	A	3	4	3	CA	0	0	0	00	2022	4A343CA00000	MF-AB 5/8″BSP-5/8″BSP	1.406	4A	5/8"	5/8"	5/8"	5/8" Standard	Kontraventil	703-418	703-173	102-699		703-418, 703-173, 102-699
6	L	1	1	6	CB	0	0	0	00	2021	6L116CB00000	MF-LP 7/16''-20UNF-5/8''BSP	1.383	6L	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
3	M	9	7	2	CA	0	0	0	00	2020	3M972CA00000	MF-M 3/4″BSP-5/8″BSP	1.380	3M	3/4"	5/8"	3/4" (ø14x7)	5/8" ø8.5   Holland	Stop Kugle	401-472, 106-544	731-104	102-524, 102-527		401-472, 106-544, 731-104, 102-524, 102-527
3	A	9	1	2	CA	0	0	0	00	2019	3A912CA00000	MF-AB 3/4″BSP-5/8″BSP	1.378	3A	3/4"	5/8"	3/4" (Ø14X7)	5/8" Standard	Stop Kugle	401-472, 703-407	703-242	102-524, 102-527		401-472, 703-407, 703-242, 102-524, 102-527
3	L	1	8	6	CA	0	0	0	00	2020	3L186CA00000	MF-LS 7/16-20UNF-5/8″BSP	1.370	3L	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
S	H	3	4	0	CC	0	0	0	46	2019	SH340CC00046	MF-SH 3/8″JG-3/″JG	1.370	SH	3/8"	5/8"	3/8" Reserveret	"5/8""
Drelebar ø14x6"			707-555		401-690, 239-086	707-555, 401-690, 239-086
3	A	9	5	0	CA	0	0	0	00	2020	3A950CA00000	MF-AB 3/4″BSP-5/8″BSP	1.366	3A	3/4"	5/8"	3/4" (Ø14X7)	5/8"-90°		401-472, 703-407	703-198, 703-222			401-472, 703-407, 703-198, 703-222
3	S	9	2	0	CA	0	0	0	00	2020	3S920CA00000	MF-S 3/4''BSP-5/8''BSP	1.350	3S	3/4"	5/8"	"3/4"" (Ø14X7)
"	5/8" ø10		401-472, 707-473	707-344			401-472, 707-473, 707-344
4	S	0	3	2	CA	0	0	0	00	2020	4S032CA00000	MF-S 5/8″BSP-5/8″BSP	1.330	4S	5/8"	5/8"	5/8"	5/8" Massiv	Stop Kugle	733-305, 707-490	707-239	102-524, 102-527		733-305, 707-490, 707-239, 102-524, 102-527
K	K	1	2	2	CA	3	0	0	00	2020	KK122CA3000	MF-KK 5/8″BSP, KeyKeg	1.321	KK	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
5	G	3	3	8	CC	0	0	0	01	2019	5G338CC00001	MF-GB 1/2″BSP-1/2″BSP	1.310	5G	1/2"	1/2"	"1/2""
Serie"	"1/2""
Serie"	Kontraventil	703-560	703-313	112-897		703-560, 703-313, 112-897
8	A	2	2	8	CC	0	0	0	00	2021	8A228CC00000	MF-AB 1/2″BSP-1/2″BSP	1.310	8A	1/2"	5/8"	1/2"BSP o-ringe i hus	5/8"BSP Ø8.5	Torpedo	106-595	706-117	112-897		106-595, 706-117, 112-897
3	S	1	A	2	CA	0	0	0	00	2021	3S1A2CA00000	MF-S 5/8″BSP-5/8″BSP	1.300	3S	5/8"	5/8"	5/8"	5/8" Massiv	Stop Kugle	707-420, 707-473	707-239	102-524, 102-527		707-420, 707-473, 707-239, 102-524, 102-527
3	S	9	2	0	CA	0	0	0	00	2022	3S920CA00000	MF-S 3/4''BSP-5/8''BSP	1.300	3S	3/4"	5/8"	"3/4"" (Ø14X7)
"	5/8" ø10		401-472, 707-473	707-344			401-472, 707-473, 707-344
4	A	3	4	2	CA	0	0	0	00	2021	4A342CA00000	MF-AB 5/8″BSP-5/8″BSP	1.300	4A	5/8"	5/8"	5/8"	5/8" Standard	Stop Kugle	703-418	703-173	102-524, 102-527		703-418, 703-173, 102-524, 102-527
5	S	9	F	2	CA	0	0	0	07	2022	5S9F2CA00007	MF-S 1/2″BSP-5/8″BSP Suntory	1.270	5S	1/2"	5/8"	"1/2"" RG 
SUNTORY"	5/8" RG SUNTORY	Stop Kugle	707-580	707-576	102-524, 102-527	102-581	707-580, 707-576, 102-524, 102-527, 102-581
6	D	6	8	0	CA	0	0	0	09	2020	6D680CA00009	MF-D 5/8''BSP-5/8''BSP	1.270	6D	5/8"	5/8"	5/8"	5/8"			733-101		239-032, 102-011, 404-320, 404-329, 239-032, 102-011, 404-320	733-101, 239-032, 102-011, 404-320, 404-329, 239-032, 102-011, 404-320
4	G	4	1	2	CA	0	0	0	36	2021	4G412CA00036	MF-GB 1/2″BSP-1/2″BSP without STOP	1.261	4G	1/2"	1/2"	"1/2""
Till Sverige"	1/2"	"Stop
Kugle"	703-301	703-101	102-524, 102-527	401-627, PI451214FS	703-301, 703-101, 102-524, 102-527, 401-627, PI451214FS
8	A	2	2	8	CC	0	0	0	00	2019	8A228CC00000	MF-AB 1/2″BSP-1/2″BSP	1.261	8A	1/2"	5/8"	1/2"BSP o-ringe i hus	5/8"BSP Ø8.5	Torpedo	106-595	706-117	112-897		106-595, 706-117, 112-897
3	A	9	K	0	CA	0	0	0	00	2022	3A9K0CA00000	MF-AB 3/4″BSP-5/8″BSP	1.260	3A	3/4"	5/8"	3/4" (Ø14X7)	5/8"+SOV		401-472, 703-407	706-161, 703-222			401-472, 703-407, 706-161, 703-222
3	A	9	K	0	CA	0	0	0	00	2021	3A9K0CA00000	MF-AB 3/4″BSP-5/8″BSP	1.260	3A	3/4"	5/8"	3/4" (Ø14X7)	5/8"+SOV		401-472, 703-407	706-161, 703-222			401-472, 703-407, 706-161, 703-222
4	G	1	1	4	CA	0	0	0	05	2019	4G114CA00005-U03	MF-GB 5/8''BSP-5/8''BSP	1.251	4G	5/8"	1/2"	"5/8""
USA"	1/2"	"Kontraventil
m/gum."	703-509	703-101	703-121	100-461, 703-116	703-509, 703-101, 703-121, 100-461, 703-116
4	L	6	9	6	CA	0	0	0	08	2020	4L696CA00008	MF-LS 1/2″BSP-1/2″BSP	1.250	4L	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
4	S	E	7	0	CA	0	0	0	66	2022	4SE70CA00066	MF-S 1/2″BSP-5/8″BSP	1.250	4S	1/2"	5/8"	1/2"RG Suntory  m/stop	5/8" ø8,5 ø14x6		707-582	707-175		405-001, 401-662	707-582, 707-175, 405-001, 401-662
3	A	9	1	2	CA	0	0	0	00	2021	3A912CA00000	MF-AB 3/4″BSP-5/8″BSP	1.245	3A	3/4"	5/8"	3/4" (Ø14X7)	5/8" Standard	Stop Kugle	401-472, 703-407	703-242	102-524, 102-527		401-472, 703-407, 703-242, 102-524, 102-527
4	M	4	3	0	CA	0	0	0	25	2019	4M430CA00025	MF-M 3/8″BSP-5/8″BSP	1.230	4M	3/8"	5/8"	3/8"	5/8" ø8.5		703-417	731-116		401-939, 239-086	703-417, 731-116, 401-939, 239-086
4	G	4	1	3	CA	0	0	0	01	2022	4G413CA00001	MF-GB 1/2″BSP-1/2″BSP	1.226	4G	1/2"	1/2"	"1/2""
Till Sverige"	1/2"	Kontraventil	703-301	703-101	102-699	100-461	703-301, 703-101, 102-699, 100-461
4	D	2	3	2	CA	0	0	0	12	2021	4D232CA00012	MF-D 1/2″BSP -5/8″BSP	1.206	4D	1/2"	5/8"	"1/2""
Messing (BP 102-521)"	5/8"	Stop Kugle Ring	707-301, 102-521	733-101	102-524, 102-527	405-006, 401-067	707-301, 102-521, 733-101, 102-524, 102-527, 405-006, 401-067
3	A	8	1	3	CA	0	0	0	18	2021	3A813CA00018	MF-AB 5/8″BSP-5/8″BSP	1.200	3A	5/8"	5/8"	5/8"	5/8" Standard	Kontraventil	707-420, 703-407	703-242	102-699	405-010, 405-010	707-420, 703-407, 703-242, 102-699, 405-010, 405-010
3	S	8	A	3	CA	0	0	0	00	2019	3S8A3CA00000	MF-S 3/4″BSP-5/8″BSP	1.200	3S	3/4"	5/8"	"3/4"" (ø14x7)
"	5/8" Massiv	Kontraventil	401-472, 707-503	707-239	102-699		401-472, 707-503, 707-239, 102-699
5	S	1	1	3	CC	0	0	0	24	2019	5S113CC00024	MF-S 1/2″BSP-1/2″BSP	1.200	5S	1/2"	1/2"	1/2"	1/2" Massiv	Kontraventil	707-359	707-119	102-699	401-781, 405-001	707-359, 707-119, 102-699, 401-781, 405-001
5	S	1	2	2	CC	0	0	0	20	2021	5S122CC00020	MF-S 1/2″BSP-1/2″BSP	1.200	5S	1/2"	1/2"	1/2"	1/2" AISI 316	Stop Kugle	707-359	707-149	102-524, 102-527	239-001	707-359, 707-149, 102-524, 102-527, 239-001
7	A	2	2	0	CA	0	0	0	44	2020	7A220CA00044	MF-AB 3/8″BSP-5/8″BSP	1.200	7A	3/8"	5/8"	3/8"	5/8" Grolsch		401-557, 703-515	703-234		401-696	401-557, 703-515, 703-234, 401-696
3	A	6	6	0	CA	0	0	0	10	2022	3A660CA00010	MF-AB 3/4″BSP-5/8″BSP	1.190	3A	3/4"	5/8"	3/4"  (Ø14X7)	5/8" ø10		401-471, 703-407	703-206		239-032	401-471, 703-407, 703-206, 239-032
5	M	5	1	3	CC	0	0	0	06	2020	5M513CC00006	MF-M 5/8″BSP-5/8″BSP	1.190	5M	5/8"	5/8"	5/8" BSP	5/8" Seriekobl.	Kontraventil	703-685	731-115	102-699	405-001, 401-781	703-685, 731-115, 102-699, 405-001, 401-781
5	S	1	1	3	CC	0	0	0	34	2021	5S113CC00034	MF-S 1/2″BSP-1/2″BSP	1.190	5S	1/2"	1/2"	1/2"	1/2" Massiv	Kontraventil	707-359	707-119	102-699	102-530	707-359, 707-119, 102-699, 102-530
3	S	6	C	0	CA	0	0	0	04	2021	3S6C0CA00004	MF-S 3/4″BSP-5/8″BSP	1.170	3S	3/4"	5/8"	"3/4""  (ø14x7)
 Vingem."	5/8" Ø10 Beck/Licher m/absperrh.Ø14x7		401-471, 707-473	707-249		102-787, 707-101	401-471, 707-473, 707-249, 102-787, 707-101
4	M	1	1	2	CA	0	0	0	00	2019	4M112CA00000	MF-M 1/2″BSP-1/2″BSP	1.159	4M	1/2"	1/2"	1/2"	1/2"	Stop Kugle	703-416	731-108	102-524, 102-527		703-416, 731-108, 102-524, 102-527
3	S	6	C	0	CA	0	0	0	01	2022	3S6C0CA00001	MF-S 3/4″BSP-5/8″BSP	1.155	3S	3/4"	5/8"	"3/4""  (ø14x7)
 Vingem."	5/8" Ø10 Beck/Licher m/absperrh.Ø14x7		401-471, 707-473	707-249		102-787	401-471, 707-473, 707-249, 102-787
5	S	1	1	3	CC	0	0	0	38	2019	5S113CC00038	MF-S 1/2″BSP-1/2″BSP	1.155	5S	1/2"	1/2"	1/2"	1/2" Massiv	Kontraventil	707-359	707-119	102-699	102-530	707-359, 707-119, 102-699, 102-530
7	A	1	1	2	CA	0	0	0	00	2022	7A112CA00000	MF-AB7 1/2″BSP-1/2″BSP	1.151	7A	1/2"	1/2"	1/2"	1/2"	Stop Kugle	703-485	703-260	102-524, 102-527		703-485, 703-260, 102-524, 102-527
5	S	0	3	0	CC	0	0	0	00	2021	5S030CC00000	MF-S 5/8″BSP-5/8″BSP	1.150	5S	5/8"	5/8"	5/8"  Seriekobl.	5/8" Massiv		707-390	707-239			707-390, 707-239
4	S	7	1	3	CA	0	0	0	00	2020	4S713CA00000	MF-S 1/2″BSP -1/2″ BSP	1.140	4S	1/2"	1/2"	1/2" ø8 CO2	1/2" Massiv	Kontraventil	707-379	707-119	102-699		707-379, 707-119, 102-699
8	M	1	2	1	CA	0	0	0	03	2019	8M121CA00003	MF-M 1/2″BSP-1/2″BSP	1.115	8M	1/2"	1/2"	1/2"	1/2"	STOP KUGLE	738-396	731-142	102-524, 102-527	401-775, 401-998	738-396, 731-142, 102-524, 102-527, 401-775, 401-998
4	M	1	1	3	CA	0	0	0	00	2021	4M113CA00000	MF-M 1/2″BSP-1/2″BSP	1.113	4M	1/2"	1/2"	1/2"	1/2"	Kontraventil	703-416	731-108	102-699		703-416, 731-108, 102-699
5	S	1	1	0	CC	0	0	0	32	2022	5S110CC00032	MF-S 1/2″BSP-1/2″BSP	1.112	5S	1/2"	1/2"	1/2"	1/2" Massiv		707-359	707-119		405-006, 707-413, 102-527, 762-120	707-359, 707-119, 405-006, 707-413, 102-527, 762-120
5	S	1	1	3	CC	0	0	0	34	2019	5S113CC00034	MF-S 1/2″BSP-1/2″BSP	1.105	5S	1/2"	1/2"	1/2"	1/2" Massiv	Kontraventil	707-359	707-119	102-699	102-530	707-359, 707-119, 102-699, 102-530
3	G	1	1	2	CA	0	0	0	01	2019	3G112CA00001	MF-GB 5/8''BSP-5/8''BSP	1.100	3G	5/8"	5/8"	5/8"	5/8"	"Stop
Kugle"	707-420, 703-447	703-197	102-524, 102-527	100-461	707-420, 703-447, 703-197, 102-524, 102-527, 100-461
4	A	1	4	2	CA	0	0	0	00	2020	4A142CA00000	MF-AB 1/2″BSP-5/8″BSP	1.100	4A	1/2"	5/8"	1/2"	5/8" Standard	Stop Kugle	703-415	703-173	102-524, 102-527		703-415, 703-173, 102-524, 102-527
7	A	1	3	2	CA	0	0	0	00	2019	7A132CA00000	MF-AB 1/2″BSP-5/8″BSP	1.100	7A	1/2"	5/8"	1/2"	5/8" Standard	Stop Kugle	703-485	703-181	102-524, 102-527		703-485, 703-181, 102-524, 102-527
8	M	1	2	1	CA	0	0	0	03	2020	8M121CA00003	MF-M 1/2″BSP-1/2″BSP	1.100	8M	1/2"	1/2"	1/2"	1/2"	STOP KUGLE	738-396	731-142	102-524, 102-527	401-775, 401-998	738-396, 731-142, 102-524, 102-527, 401-775, 401-998
5	A	1	2	0	CC	0	0	0	00	2021	5A120CC00000	MF-AB 5/8″BSP-5/8″BSP	1.097	5A	5/8"	5/8"	5/8" Seriekobl.	5/8"     ø16 Bond Seriekobl. 		703-455	703-230			703-455, 703-230
3	A	6	5	0	CA	0	0	0	10	2021	3A650CA00010	MF-AB 3/4″BSP-5/8″BSP	1.095	3A	3/4"	5/8"	3/4"  (Ø14X7)	5/8"-90°		401-471, 703-407	703-198, 703-222		239-032	401-471, 703-407, 703-198, 703-222, 239-032
4	G	4	1	2	CA	0	0	0	00	2020	4G412CA00000	MF-GB 1/2″BSP-1/2″BSP without stop	1.079	4G	1/2"	1/2"	"1/2""
Till Sverige"	1/2"	"Stop
Kugle"	703-301	703-101	102-524, 102-527		703-301, 703-101, 102-524, 102-527
3	A	8	1	2	CA	0	0	0	00	2022	3A812CA00000	MF-AB 5/8″BSP 5/8″BSP	1.070	3A	5/8"	5/8"	5/8"	5/8" Standard	Stop Kugle	707-420, 703-407	703-242	102-524, 102-527		707-420, 703-407, 703-242, 102-524, 102-527
4	A	5	3	3	CA	0	0	0	62	2019	4A533CA00062	MF-AB 1/2″BSP-1/2″BSP	1.066	4A	1/2"	1/2"	1/2"	1/2"	Kontraventil	703-416	703-177	102-699	401-764	703-416, 703-177, 102-699, 401-764
